Name,Gender,Grade,Smoking,Drinking,Pets,Disability_Access,Budget,Amenities,Phone,Cleanliness,Sleeping_Habits ,Social_Habit
Barrett Jones,Female,Junior,No,Yes,Yes,Yes,1762,Furnished,126101689,Very Tidy,Late,Balanced
Raymond Maxwell,Male,Freshman,No,Yes,No,Yes,1003,Furnished,169826574,Very Untidy,Early,Balanced
Lillith Cooper,Male,Junior,No,No,No,Yes,1550,Unfurnished,119760642,Very Tidy,Early,Balanced
Xander Richard,Female,Sophmore,No,Yes,Yes,Yes,1720,UnFurnished,169877026,Very Tidy,Late,Very Social
Imogene Torres,Female,Sophmore,No,Yes,Yes,Yes,1815,Furnished,111548667,Balanced,Late,Very Social
Joy Pennington,Female,Sophmore,No,No,Yes,Yes,1517,Furnished,127631239,Balanced,Early,Balanced
Serina Hess,Other,Junior,Yes,No,Yes,Yes,853,Furnished,139726550,Very Tidy,Very Late,Balanced
Devin Mejia,Male,Sophmore,No,No,Yes,Yes,1065,UnFurnished,161760594,Very Tidy,Late,Balanced
Vladimir Hines,Female,Senior,No,No,Yes,Yes,1483,Furnished,143181653,Very Untidy,Late,Balanced
Grant Hurley,Female,Sophmore,No,No,No,Yes,1981,Furnished,174716128,Balanced,Late,Very Social
Marvin Mccray,Female,Freshman,Yes,Yes,No,Yes,1239,UnFurnished,151590744,Very Untidy,Very Late,Very Social
Scarlett Finch,Female,Sophmore,No,Yes,No,Yes,1384,Furnished,111805510,Very Untidy,Late,Interoverted
Serina Leblanc,Female,Sophmore,No,Yes,No,No,1542,Furnished,122368011,Very Tidy,Late,Balanced
Cade Morgan,Female,Junior,No,Yes,Yes,Yes,1121,UnFurnished,160793317,Balanced,Early,Balanced
Lucian Galloway,Female,Junior,No,No,No,Yes,1952,UnFurnished,104024834,Balanced,Late,Interoverted
Alfreda Carver,Male,Junior,No,Yes,Yes,No,1686,UnFurnished,122765285,Balanced,Late,Balanced
Brennan York,Female,Junior,No,Yes,No,No,1133,UnFurnished,129395266,Very Tidy,Early,Interoverted
Grady Hanson,Male,Sophmore,No,Yes,Yes,No,1280,Furnished,104697897,Balanced,Late,Interoverted
Samuel Harmon,Female,Junior,Yes,Yes,No,No,1872,UnFurnished,122215365,Balanced,Late,Balanced
Kenneth Roberson,Female,Freshman,No,No,No,No,1714,UnFurnished,139936399,Balanced,Very Late,Very Social
Berk Castro,Other,Junior,Yes,Yes,No,Yes,1780,UnFurnished,122807059,Very Tidy,Very Late,Balanced
Ulric Cabrera,Male,Junior,No,No,No,Yes,902,Furnished,106551775,Balanced,Late,Very Social
Edward Harding,Female,Junior,Yes,No,Yes,No,871,UnFurnished,122722192,Very Untidy,Late,Very Social
Indigo Lowe,Male,Senior,Yes,Yes,Yes,No,876,UnFurnished,120715512,Very Tidy,Early,Interoverted
Joelle Austin,Male,Sophmore,Yes,No,Yes,No,1411,UnFurnished,195995234,Very Untidy,Late,Interoverted
Nolan Higgins,Male,Junior,Yes,Yes,No,No,1634,Furnished,170480192,Balanced,Very Late,Balanced
Fay Turner,Other,Senior,No,No,Yes,No,1403,UnFurnished,175129961,Very Tidy,Early,Balanced
